threshold,mean_f1,mean_precision,fold_f1_json,fold_precision_json,selected
0.89000000000000001,0.39379051790904618,0.71370158268174333,"[0.45482866043613707,0.4422809457579972,0.3665480427046263,0.44283646888567296,0.26245847176079734]","[0.7604166666666666,0.726027397260274,0.7803030303030303,0.7251184834123223,0.5766423357664233]",False
0.90000000000000002,0.38054444379957786,0.71541697731550469,"[0.45241809672386896,0.40404040404040403,0.36917562724014336,0.42290748898678415,0.25418060200668896]","[0.7591623036649214,0.7253886010362695,0.8046875,0.7164179104477612,0.5714285714285714]",False
0.91000000000000003,0.3646286583390429,0.73348610325700259,"[0.41491085899513774,0.39710144927536234,0.3688969258589512,0.38284839203675347,0.2593856655290102]","[0.7664670658682635,0.7210526315789474,0.8292682926829268,0.7225433526011561,0.628099173553719]",False
0.92000000000000004,0.35693076073703933,0.73716854441697366,"[0.41368078175895767,0.40058479532163743,0.3688969258589512,0.36619718309859156,0.23529411764705882]","[0.774390243902439,0.7445652173913043,0.8292682926829268,0.7358490566037735,0.6017699115044248]",False
0.93000000000000005,0.34136269007987108,0.74207306972726061,"[0.41243862520458263,0.3935389133627019,0.3364140480591497,0.34022257551669316,0.22419928825622776]","[0.782608695652174,0.7403314917127072,0.8198198198198198,0.7181208053691275,0.6494845360824743]",False
0.93999999999999995,0.33155925019840377,0.75742216490641445,"[0.4,0.38880706921944036,0.3364485981308411,0.3079416531604538,0.22459893048128343]","[0.8428571428571429,0.7374301675977654,0.8571428571428571,0.6934306569343066,0.65625]",False
0.94999999999999996,0.32375507064684877,0.76405710394474435,"[0.4020618556701031,0.3864306784660767,0.3364485981308411,0.27722772277227725,0.21660649819494585]","[0.8863636363636364,0.7359550561797753,0.8571428571428571,0.6666666666666666,0.6741573033707865]",False
0.95999999999999996,0.30919688461151901,0.78264201276846257,"[0.34296028880866425,0.39457831325301207,0.3364485981308411,0.2651006711409396,0.20689655172413793]","[0.9134615384615384,0.7987804878048781,0.8571428571428571,0.6810344827586207,0.6627906976744186]",False
0.96999999999999997,0.29795825718597524,0.79427117620279664,"[0.33695652173913043,0.3802163833075734,0.32706766917293234,0.23752151462994836,0.20802919708029197]","[0.9117647058823529,0.8367346938775511,0.8529411764705882,0.6831683168316832,0.6867469879518072]",False
0.97999999999999998,0.28446512848711591,0.795543856541299,"[0.33695652173913043,0.3512658227848101,0.32136105860113423,0.2097902097902098,0.2029520295202952]","[0.9117647058823529,0.8409090909090909,0.8585858585858586,0.6521739130434783,0.7142857142857143]",False
0.98999999999999999,0.28009573901134349,0.79129955012307951,"[0.33695652173913043,0.3512658227848101,0.32136105860113423,0.1879432624113475,0.2029520295202952]","[0.9117647058823529,0.8409090909090909,0.8585858585858586,0.6309523809523809,0.7142857142857143]",False
1,0.28009573901134349,0.79129955012307951,"[0.33695652173913043,0.3512658227848101,0.32136105860113423,0.1879432624113475,0.2029520295202952]","[0.9117647058823529,0.8409090909090909,0.8585858585858586,0.6309523809523809,0.7142857142857143]",False
